id,rep_id,metric_key,delta,calendar_id,logged_at,deleted_at
0e4e6115-89a0-47ef-90e2-fee3198609c0,8fb47a9e-f195-434b-b8ba-966b1d165761,demo,1,4c7fb48a-098a-4ab2-8de8-60b0d03bebfc,2026-08-25 13:43:04.96817+00,
9b421250-1f43-4e97-9d6a-46b3f70ef8bf,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 13:59:54.778844+00,
4eccd59e-cec3-405e-8118-317dd838b4c6,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:04:43.811637+00,
ddce372e-8598-4461-9907-94485784f7ff,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:04:54.04037+00,
64f6b13f-8bbd-42b7-9738-53d14dd84055,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:06:27.00324+00,
d8c66ba8-f26b-427d-b4c4-0e5e04910048,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:07:14.202222+00,
fd106c88-2bd6-436d-b972-59a69e230240,aae56d6d-c3b8-444a-810e-d99c54b5e95c,gk_conv,1,,2026-08-25 14:07:14.902519+00,
95751bae-eccd-4fe4-86a2-39e2013e886f,c6632466-befd-416f-abea-f0cfaa311ae1,disc,1,35d53e33-6b33-4ad5-a28b-f91e9bc78dc4,2026-08-25 14:08:10.281575+00,
2d28fccc-b2f1-47dc-b214-5b207c7fac8b,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:08:44.442633+00,
d17d5120-bcca-4cb0-a2c5-93213ad89925,8fb47a9e-f195-434b-b8ba-966b1d165761,disc,1,e9342b5f-0938-4239-87c1-87defae0d552,2026-08-25 14:10:52.143532+00,
637c0643-59ae-43ea-84df-3b3d83236e99,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:12:09.611115+00,
a2254f1e-9efe-4b48-9c38-09f25797fbd6,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:12:29.416405+00,
560acf56-b0ae-4775-a5aa-857d5eefa32c,ffce980a-6090-482c-a11d-b7f969f696d7,vm,1,,2026-08-25 14:12:30.117566+00,
b0d4fc11-b4ca-4995-9d39-0c8c6c7b5160,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:14:46.406101+00,
14f11073-384e-49de-89a6-9363c1124998,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:15:58.960978+00,
c2b7689e-adcf-494b-838c-420735dc884a,8fb47a9e-f195-434b-b8ba-966b1d165761,gk_conv,1,,2026-08-25 14:16:02.698839+00,
b2beec3c-a108-4104-8df2-7fd3ea5095cf,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:17:07.145206+00,
28ffb586-4d3c-4c55-90df-26f22ee91c53,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:17:50.836088+00,
27b300c3-fd86-4fcd-aef6-f0838613730c,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:18:09.074902+00,
d7c0bb12-c276-474a-aea6-c565131b1f81,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:19:30.937816+00,
caca04ab-386a-401d-89fc-2c2f92bd1caa,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:19:31.392316+00,
b0fb07a7-bb60-4e7b-a0ec-c7ef1aa58860,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:22:06.199217+00,
90c51792-0742-44cf-ad07-f63f3a5a07d5,aae56d6d-c3b8-444a-810e-d99c54b5e95c,gk_conv,1,,2026-08-25 14:22:07.185614+00,
23659b96-0c57-4e38-9ecd-4d755488f519,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:22:11.909786+00,
44a87531-6c82-412c-b24d-e2fa8c4bf338,ffce980a-6090-482c-a11d-b7f969f696d7,vm,1,,2026-08-25 14:22:12.658398+00,
cc3b3181-3ceb-4f1e-b186-6d064d02c362,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:25:32.221974+00,
3caac2b8-f558-4222-a6e6-d13b60f2f46e,c6632466-befd-416f-abea-f0cfaa311ae1,gk_conv,1,,2026-08-25 14:25:32.616145+00,
ad6f0136-f56b-4373-b00b-42382b55752c,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:26:14.30534+00,
65740d8e-1900-4ba6-b774-d116c324521c,8fb47a9e-f195-434b-b8ba-966b1d165761,gk_conv,1,,2026-08-25 14:26:15.14953+00,
93a3f8bb-67ac-40c3-8b73-ac93d0897108,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:26:30.480337+00,
a499cca0-1c4a-4fcb-8e7e-d80b0fbdfc34,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:26:45.227073+00,
1f182956-4ee0-423d-9aa8-fda56b32bd78,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:26:46.25615+00,
b844ad05-b0ce-417a-8b11-e8d347ae8a2f,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:29:33.298644+00,
d9083ce3-a889-4d3b-b078-0030b41dbc2a,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:29:37.411439+00,
146798d0-444c-45c0-877d-4944f40ff424,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:29:38.214361+00,
a07cf333-5f76-4d34-afca-199df8cc613a,aae56d6d-c3b8-444a-810e-d99c54b5e95c,vm,1,,2026-08-25 14:30:57.067132+00,
63ab5c77-77b6-4a43-bd24-4de2c211b01e,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:31:10.455536+00,
b658560b-99c8-4764-814b-e2987feb0566,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:31:52.5218+00,
07d9d21c-fec8-47e6-a570-d8b927d7adfe,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:32:34.619477+00,
6d2c08ef-f4cf-4213-8cd9-329c2faed4f9,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:33:03.962132+00,
41926a09-f8e5-4f08-a18c-26d506988f82,ffce980a-6090-482c-a11d-b7f969f696d7,gk_conv,1,,2026-08-25 14:33:04.483541+00,
3ee6b940-2385-4af5-8384-7031b865003e,ffce980a-6090-482c-a11d-b7f969f696d7,vm,1,,2026-08-25 14:33:52.299201+00,
9b313bec-fc1b-491f-963c-52ec66556406,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:34:16.166771+00,
a31f4c61-8966-48ac-8841-63c038be9dcf,aae56d6d-c3b8-444a-810e-d99c54b5e95c,dials,1,,2026-08-25 14:34:34.675246+00,
7dbece2c-330b-431f-92e6-aa50bdd0ed51,8fb47a9e-f195-434b-b8ba-966b1d165761,dm_conv,1,,2026-08-25 14:34:49.431003+00,
c5ba4b53-c9b0-4fb9-9d1c-7c396ca9fb66,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:36:22.406444+00,
1e1878c1-7353-4502-ba3e-101abefe9189,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:37:12.134877+00,
05e1041a-6449-4991-a7bb-f1f8decfec83,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:37:12.273047+00,
5f2b01a2-5ed5-4cf3-891e-47ae53558ca1,8fb47a9e-f195-434b-b8ba-966b1d165761,vm,1,,2026-08-25 14:37:14.000376+00,
69ce7858-1b6f-4d19-aa99-0820ddc83e4a,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:38:09.726673+00,
996fe84d-4bef-4974-993d-d9e11dd00241,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:38:36.618162+00,
7c6ee84a-d199-4097-9854-2c3978d3ea64,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:38:36.744026+00,2026-08-25 14:38:37.849+00
8c4d28e8-9e07-4702-b811-1d85655b42a2,8fb47a9e-f195-434b-b8ba-966b1d165761,vm,1,,2026-08-25 14:38:40.119244+00,
f69e0995-37fc-4e98-8a73-057c7676a176,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:39:46.02031+00,
5198e0c6-04d5-4a76-96f9-7db15731d304,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:40:39.905153+00,
9e6f13e0-b346-4878-adf0-597bf36cdda8,c6632466-befd-416f-abea-f0cfaa311ae1,dials,1,,2026-08-25 14:40:41.118485+00,
c98f99a3-7662-4ebe-ab13-3d116f597bc1,c6632466-befd-416f-abea-f0cfaa311ae1,gk_conv,1,,2026-08-25 14:40:41.981456+00,
1b07265b-d9bb-417a-8962-01ec48c39ac0,c6632466-befd-416f-abea-f0cfaa311ae1,vm,1,,2026-08-25 14:40:42.97916+00,
888a898f-65c6-4922-a1e9-e38db394b4fa,8fb47a9e-f195-434b-b8ba-966b1d165761,dials,1,,2026-08-25 14:41:32.71801+00,
2d390378-0a95-4e97-954a-b40896d2c9b4,8fb47a9e-f195-434b-b8ba-966b1d165761,vm,1,,2026-08-25 14:41:33.57419+00,
6c9aa1a8-a419-4b10-8ddc-1968bdbf2348,ffce980a-6090-482c-a11d-b7f969f696d7,dials,1,,2026-08-25 14:42:47.677732+00,
9ad9462f-1cbe-4d82-9e64-b53a739101f4,ffce980a-6090-482c-a11d-b7f969f696d7,gk_conv,1,,2026-08-25 14:42:48.190077+00,
